Indoor Temp,FanMode,Air Velocity,Indoor Humidity,SET*,9,User_2_Predicted_Acceptance,User_3_Predicted_Acceptance,User_5_Predicted_Acceptance,User_6_Predicted_Acceptance,User_7_Predicted_Acceptance,User_9_Predicted_Acceptance,User_12_Predicted_Acceptance,User_13_Predicted_Acceptance,User_14_Predicted_Acceptance,User_16_Predicted_Acceptance,User_17_Predicted_Acceptance,User_18_Predicted_Acceptance,User_19_Predicted_Acceptance,User_20_Predicted_Acceptance,User_23_Predicted_Acceptance,User_24_Predicted_Acceptance,User_25_Predicted_Acceptance,User_26_Predicted_Acceptance
22,0,0.07,50,20.4107032,0.74162703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1,0.29,50,19.689093,0.696098834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2,0.58,50,18.11130066,0.252418575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,3,0.94,50,17.01714963,0.080208297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,4,1.37,50,16.18569635,0.129340777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,5,1.87,50,15.52256301,0.009480738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.5,0,0.07,50,20.934819,0.80608791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.5,1,0.29,50,20.22671468,0.727905147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.5,2,0.58,50,18.68567427,0.291864468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.5,3,0.94,50,17.62296289,0.238488974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.5,4,1.37,50,16.81878355,0.022109398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.5,5,1.87,50,16.1795392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0.07,50,21.45670594,0.721837888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1,0.29,50,20.76121947,0.821595912,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,2,0.58,50,19.2549547,0.497357089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,3,0.94,50,18.22183405,0.341239084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,4,1.37,50,17.44352089,0.222334448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,5,1.87,50,16.82709176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.5,0,0.07,50,21.97591213,0.730271861,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23.5,1,0.29,50,21.29224299,0.848768105,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23.5,2,0.58,50,19.81868426,0.654680767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.5,3,0.94,50,18.81368418,0.394597479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.5,4,1.37,50,18.05962121,0.323418454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.5,5,1.87,50,17.46464671,0.127595843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0.07,50,22.4844195,0.696250907,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,1,0.29,50,21.81924277,0.754215769,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,2,0.58,50,20.37657244,0.652808079,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,3,0.94,50,19.39805314,0.630812471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,4,1.37,50,18.66690566,0.315872958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,5,1.87,50,18.09189818,0.14672561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.5,0,0.07,50,22.9939457,0.536849334,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24.5,1,0.29,50,22.33087837,0.739871312,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24.5,2,0.58,50,20.92809918,0.7521977,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24.5,3,0.94,50,19.97450335,0.750250018,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24.5,4,1.37,50,19.26493094,0.606151471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.5,5,1.87,50,18.70872402,0.286095669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0.07,50,23.50502761,0.493944193,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,1,0.29,50,22.82771733,0.685802253,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,2,0.58,50,21.472584,0.7738527,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,3,0.94,50,20.54250534,0.740156748,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,4,1.37,50,19.85306467,0.742503383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,5,1.87,50,19.31450558,0.521056382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25.5,0,0.07,50,24.01821575,0.431362092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25.5,1,0.29,50,23.32694447,0.535100902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25.5,2,0.58,50,22.00896573,0.64175555,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25.5,3,0.94,50,21.10145941,0.852658363,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25.5,4,1.37,50,20.43102963,0.687386183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25.5,5,1.87,50,19.90867457,0.57011461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0.07,50,24.53324108,0.266827652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1,0.29,50,23.82854459,0.487312188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2,0.58,50,22.50092064,0.640126416,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,3,0.94,50,21.65035065,0.829630431,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,4,1.37,50,20.99786431,0.859947807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,5,1.87,50,20.49091151,0.653260213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.5,0,0.07,50,25.04991076,0.239538662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.5,1,0.29,50,24.33221479,0.42043978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.5,2,0.58,50,22.98664822,0.590872362,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26.5,3,0.94,50,22.18229568,0.692608739,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26.5,4,1.37,50,21.55288998,0.850634731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.5,5,1.87,50,21.06032424,0.763212833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0.07,50,25.56822788,0.207587031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1,0.29,50,24.83819438,0.277746567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2,0.58,50,23.47557613,0.414259487,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,3,0.94,50,22.66082307,0.714089478,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,4,1.37,50,22.09444723,0.660916634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,5,1.87,50,21.61614394,0.663754638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27.5,0,0.07,50,26.08812818,0.081301612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27.5,1,0.29,50,25.34640368,0.25447318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27.5,2,0.58,50,23.96673525,0.386745435,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27.5,3,0.94,50,23.14744484,0.629205747,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27.5,4,1.37,50,22.57656696,0.735169079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27.5,5,1.87,50,22.14850264,0.614481989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0.07,50,26.60971049,0.093131014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1,0.29,50,25.85691342,0.222126987,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,2,0.58,50,24.46093062,0.331150123,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,3,0.94,50,23.63717371,0.455615453,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,4,1.37,50,23.06578178,0.658282041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,5,1.87,50,22.63639023,0.628589941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.5,0,0.07,50,27.1328243,0.096570335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.5,1,0.29,50,26.36973027,0.117354601,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28.5,2,0.58,50,24.95832753,0.166895637,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28.5,3,0.94,50,24.12964744,0.456341145,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28.5,4,1.37,50,23.55832286,0.427849243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.5,5,1.87,50,23.13027654,0.464038966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0.07,50,27.65747353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1,0.29,50,26.88486816,0.130168665,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29,2,0.58,50,25.45906194,0.16572248,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29,3,0.94,50,24.62575867,0.371471536,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29,4,1.37,50,24.05391538,0.477667098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,5,1.87,50,23.62757438,0.375148697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29.5,0,0.07,50,28.1836337,0.034552738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29.5,1,0.29,50,27.40233952,0.129023043,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29.5,2,0.58,50,25.96299109,0.144509845,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29.5,3,0.94,50,25.12550164,0.215340859,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29.5,4,1.37,50,24.55322284,0.3975268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29.5,5,1.87,50,24.12835628,0.367266624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0.07,50,28.71126182,0.055250344,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,1,0.29,50,27.9221571,0.04944352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2,0.58,50,26.47043557,0.016714931,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,3,0.94,50,25.62904358,0.245700313,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,4,1.37,50,25.05646889,0.182264386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,5,1.87,50,24.63294475,0.202174307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
