Indoor Temp,FanMode,Air Velocity,Indoor Humidity,Globe Temperature,SET*,User_1_Predicted_TP_ctg,User_2_Predicted_TP_ctg,User_4_Predicted_TP_ctg,User_5_Predicted_TP_ctg,User_6_Predicted_TP_ctg,User_7_Predicted_TP_ctg,User_9_Predicted_TP_ctg,User_10_Predicted_TP_ctg,User_12_Predicted_TP_ctg,User_13_Predicted_TP_ctg,User_14_Predicted_TP_ctg,User_16_Predicted_TP_ctg,User_17_Predicted_TP_ctg,User_18_Predicted_TP_ctg,User_19_Predicted_TP_ctg,User_20_Predicted_TP_ctg,User_21_Predicted_TP_ctg,User_22_Predicted_TP_ctg,User_23_Predicted_TP_ctg,User_24_Predicted_TP_ctg,User_25_Predicted_TP_ctg,User_26_Predicted_TP_ctg
22,0,0.07,50,22,20.4107032,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
22,1,0.29,50,22,19.689093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2,0.58,50,22,18.11130066,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
22,3,0.94,50,22,17.01714963,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,4,1.37,50,22,16.18569635,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,5,1.87,50,22,15.52256301,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
22.5,0,0.07,50,22.5,20.934819,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
22.5,1,0.29,50,22.5,20.22671468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.5,2,0.58,50,22.5,18.68567427,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
22.5,3,0.94,50,22.5,17.62296289,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0
22.5,4,1.37,50,22.5,16.81878355,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.5,5,1.87,50,22.5,16.1795392,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
23,0,0.07,50,23,21.45670594,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
23,1,0.29,50,23,20.76121947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2,0.58,50,23,19.2549547,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
23,3,0.94,50,23,18.22183405,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0
23,4,1.37,50,23,17.44352089,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
23,5,1.87,50,23,16.82709176,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
23.5,0,0.07,50,23.5,21.97591213,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
23.5,1,0.29,50,23.5,21.29224299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.5,2,0.58,50,23.5,19.81868426,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
23.5,3,0.94,50,23.5,18.81368418,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
23.5,4,1.37,50,23.5,18.05962121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
23.5,5,1.87,50,23.5,17.46464671,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
24,0,0.07,50,24,22.4844195,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1
24,1,0.29,50,24,21.81924277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2,0.58,50,24,20.37657244,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
24,3,0.94,50,24,19.39805314,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
24,4,1.37,50,24,18.66690566,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
24,5,1.87,50,24,18.09189818,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
24.5,0,0.07,50,24.5,22.9939457,0,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1
24.5,1,0.29,50,24.5,22.33087837,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
24.5,2,0.58,50,24.5,20.92809918,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
24.5,3,0.94,50,24.5,19.97450335,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
24.5,4,1.37,50,24.5,19.26493094,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.5,5,1.87,50,24.5,18.70872402,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
25,0,0.07,50,25,23.50502761,1,1,0,1,0,0,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1,1
25,1,0.29,50,25,22.82771733,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25,2,0.58,50,25,21.472584,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
25,3,0.94,50,25,20.54250534,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
25,4,1.37,50,25,19.85306467,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,5,1.87,50,25,19.31450558,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
25.5,0,0.07,50,25.5,24.01821575,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,1,1,0,1,1
25.5,1,0.29,50,25.5,23.32694447,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
25.5,2,0.58,50,25.5,22.00896573,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0
25.5,3,0.94,50,25.5,21.10145941,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0
25.5,4,1.37,50,25.5,20.43102963,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
25.5,5,1.87,50,25.5,19.90867457,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26,0,0.07,50,26,24.53324108,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,1,1,0,1,1
26,1,0.29,50,26,23.82854459,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
26,2,0.58,50,26,22.50092064,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1
26,3,0.94,50,26,21.65035065,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
26,4,1.37,50,26,20.99786431,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
26,5,1.87,50,26,20.49091151,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
26.5,0,0.07,50,26.5,25.04991076,1,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,1,1,0,1,1
26.5,1,0.29,50,26.5,24.33221479,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1
26.5,2,0.58,50,26.5,22.98664822,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1
26.5,3,0.94,50,26.5,22.18229568,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0
26.5,4,1.37,50,26.5,21.55288998,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
26.5,5,1.87,50,26.5,21.06032424,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1
27,0,0.07,50,27,25.56822788,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,1,1
27,1,0.29,50,27,24.83819438,0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,1,1,1
27,2,0.58,50,27,23.47557613,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1
27,3,0.94,50,27,22.66082307,1,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0
27,4,1.37,50,27,22.09444723,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
27,5,1.87,50,27,21.61614394,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1
27.5,0,0.07,50,27.5,26.08812818,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1
27.5,1,0.29,50,27.5,25.34640368,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1
27.5,2,0.58,50,27.5,23.96673525,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1
27.5,3,0.94,50,27.5,23.14744484,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1
27.5,4,1.37,50,27.5,22.57656696,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
27.5,5,1.87,50,27.5,22.14850264,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1
28,0,0.07,50,28,26.60971049,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
28,1,0.29,50,28,25.85691342,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1
28,2,0.58,50,28,24.46093062,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
28,3,0.94,50,28,23.63717371,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
28,4,1.37,50,28,23.06578178,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1
28,5,1.87,50,28,22.63639023,1,0,0,0,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,1
28.5,0,0.07,50,28.5,27.1328243,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.5,1,0.29,50,28.5,26.36973027,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0
28.5,2,0.58,50,28.5,24.95832753,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0
28.5,3,0.94,50,28.5,24.12964744,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0
28.5,4,1.37,50,28.5,23.55832286,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
28.5,5,1.87,50,28.5,23.13027654,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,0,1
29,0,0.07,50,29,27.65747353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1,0.29,50,29,26.88486816,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0
29,2,0.58,50,29,25.45906194,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
29,3,0.94,50,29,24.62575867,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0
29,4,1.37,50,29,24.05391538,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
29,5,1.87,50,29,23.62757438,0,1,0,0,1,1,0,1,0,0,1,0,1,1,1,0,1,1,1,0,0,1
29.5,0,0.07,50,29.5,28.1836337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29.5,1,0.29,50,29.5,27.40233952,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
29.5,2,0.58,50,29.5,25.96299109,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
29.5,3,0.94,50,29.5,25.12550164,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
29.5,4,1.37,50,29.5,24.55322284,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0
29.5,5,1.87,50,29.5,24.12835628,0,1,0,0,1,1,0,1,0,0,1,0,1,1,1,0,1,1,1,0,0,1
30,0,0.07,50,30,28.71126182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1,0.29,50,30,27.9221571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30,2,0.58,50,30,26.47043557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
30,3,0.94,50,30,25.62904358,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
30,4,1.37,50,30,25.05646889,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0
30,5,1.87,50,30,24.63294475,0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,1,1,1,0,0,1
